"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 19:32:09 IST 2023","Fri Dec 29 19:32:39 IST 2023","30576","chromium","pages\orderPage\screenshot\needmoreinfo\deviceLarge.spec.ts","Amerisano Order Page test Desktop Edge HiDPI","","","Need Info Form screenshot Desktop Edge HiDPI viewport: 1280x1024",""
"passed","Fri Dec 29 19:31:16 IST 2023","Fri Dec 29 19:31:44 IST 2023","27731","chromium","pages\orderPage\screenshot\needmoreinfo\deviceLarge.spec.ts","Amerisano Order Page test MacBook Air 2020 13","","","Need Info Form screenshot MacBook Air 2020 13 viewport: 1280x800",""
"passed","Fri Dec 29 19:32:07 IST 2023","Fri Dec 29 19:32:30 IST 2023","22069","chromium","pages\orderPage\screenshot\needmoreinfo\deviceLarge.spec.ts","Amerisano Order Page test Desktop Safari","","","Need Info Form screenshot Desktop Safari viewport: 1920x1080",""
"passed","Fri Dec 29 19:31:44 IST 2023","Fri Dec 29 19:32:09 IST 2023","24911","chromium","pages\orderPage\screenshot\needmoreinfo\deviceLarge.spec.ts","Amerisano Order Page test Desktop Chrome","","","Need Info Form screenshot Desktop Chrome viewport: 1920x1080",""
"passed","Fri Dec 29 19:32:30 IST 2023","Fri Dec 29 19:32:52 IST 2023","22311","chromium","pages\orderPage\screenshot\needmoreinfo\deviceLarge.spec.ts","Amerisano Order Page test ultrawide FHD","","","Need Info Form screenshot ultrawide FHD viewport: 2560x1080",""
"passed","Fri Dec 29 19:31:42 IST 2023","Fri Dec 29 19:32:07 IST 2023","25886","chromium","pages\orderPage\screenshot\needmoreinfo\deviceLarge.spec.ts","Amerisano Order Page test Macbook Pro 15","","","Need Info Form screenshot Macbook Pro 15 viewport: 1440x900",""
"passed","Fri Dec 29 19:31:16 IST 2023","Fri Dec 29 19:31:42 IST 2023","25607","chromium","pages\orderPage\screenshot\needmoreinfo\deviceLarge.spec.ts","Amerisano Order Page test Microsoft Surface","","","Need Info Form screenshot Microsoft Surface viewport: 1366x768",""
