"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 14:46:31 IST 2023","Mon Dec 25 14:46:51 IST 2023","20350","chromium","forms\wholesaleaccount\screenshot\deviceLarge.spec.ts","WholesaleAccount request page tests on Macbook Pro 15","","","wholesale acc form screenshots on Macbook Pro 15",""
"passed","Mon Dec 25 14:46:57 IST 2023","Mon Dec 25 14:47:17 IST 2023","20091","chromium","forms\wholesaleaccount\screenshot\deviceLarge.spec.ts","WholesaleAccount request page tests on Desktop Chrome","","","wholesale acc form screenshots on Desktop Chrome",""
"passed","Mon Dec 25 14:46:03 IST 2023","Mon Dec 25 14:46:31 IST 2023","27863","chromium","forms\wholesaleaccount\screenshot\deviceLarge.spec.ts","WholesaleAccount request page tests on MacBook Air 2020 13","","","wholesale acc form screenshots on MacBook Air 2020 13",""
"passed","Mon Dec 25 14:47:12 IST 2023","Mon Dec 25 14:47:27 IST 2023","15391","chromium","forms\wholesaleaccount\screenshot\deviceLarge.spec.ts","WholesaleAccount request page tests on ultrawide FHD","","","wholesale acc form screenshots on ultrawide FHD",""
"passed","Mon Dec 25 14:46:51 IST 2023","Mon Dec 25 14:47:12 IST 2023","20508","chromium","forms\wholesaleaccount\screenshot\deviceLarge.spec.ts","WholesaleAccount request page tests on Desktop Edge HiDPI","","","wholesale acc form screenshots on Desktop Edge HiDPI",""
"passed","Mon Dec 25 14:42:20 IST 2023","Mon Dec 25 14:42:37 IST 2023","17590","chromium","forms\wholesaleaccount\validation\requiredFields.spec.ts","WholesaleAccount validation tests on MacBook Air 2020 13","","","should validate required fields on MacBook Air 2020 13",""
"passed","Mon Dec 25 14:46:03 IST 2023","Mon Dec 25 14:46:31 IST 2023","27184","chromium","forms\wholesaleaccount\screenshot\deviceLarge.spec.ts","WholesaleAccount request page tests on Microsoft Surface","","","wholesale acc form screenshots on Microsoft Surface",""
"passed","Mon Dec 25 14:46:31 IST 2023","Mon Dec 25 14:46:57 IST 2023","25907","chromium","forms\wholesaleaccount\screenshot\deviceLarge.spec.ts","WholesaleAccount request page tests on Desktop Safari","","","wholesale acc form screenshots on Desktop Safari",""
