"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 30 01:14:02 IST 2023","Sat Dec 30 01:14:30 IST 2023","27939","chromium","pages\landingPage\freebox\screenshot\traits\deviceLarge.spec.ts","Amerisano LandingPage Page test Desktop Chrome","","","Freesample LP traits screenshot Desktop Chrome viewport: 1920x1080",""
"passed","Sat Dec 30 01:13:27 IST 2023","Sat Dec 30 01:14:01 IST 2023","33846","chromium","pages\landingPage\freebox\screenshot\traits\deviceLarge.spec.ts","Amerisano LandingPage Page test MacBook Air 2020 13","","","Freesample LP traits screenshot MacBook Air 2020 13 viewport: 1280x800",""
"passed","Sat Dec 30 01:14:54 IST 2023","Sat Dec 30 01:15:21 IST 2023","27533","chromium","pages\landingPage\freebox\screenshot\traits\deviceLarge.spec.ts","Amerisano LandingPage Page test ultrawide FHD","","","Freesample LP traits screenshot ultrawide FHD viewport: 2560x1080",""
"passed","Sat Dec 30 01:13:27 IST 2023","Sat Dec 30 01:14:02 IST 2023","34945","chromium","pages\landingPage\freebox\screenshot\traits\deviceLarge.spec.ts","Amerisano LandingPage Page test Microsoft Surface","","","Freesample LP traits screenshot Microsoft Surface viewport: 1366x768",""
"passed","Sat Dec 30 01:14:01 IST 2023","Sat Dec 30 01:14:28 IST 2023","26491","chromium","pages\landingPage\freebox\screenshot\traits\deviceLarge.spec.ts","Amerisano LandingPage Page test Macbook Pro 15","","","Freesample LP traits screenshot Macbook Pro 15 viewport: 1440x900",""
"passed","Sat Dec 30 01:14:30 IST 2023","Sat Dec 30 01:15:16 IST 2023","45252","chromium","pages\landingPage\freebox\screenshot\traits\deviceLarge.spec.ts","Amerisano LandingPage Page test Desktop Edge HiDPI","","","Freesample LP traits screenshot Desktop Edge HiDPI viewport: 1280x1024",""
"passed","Sat Dec 30 01:14:28 IST 2023","Sat Dec 30 01:14:54 IST 2023","26170","chromium","pages\landingPage\freebox\screenshot\traits\deviceLarge.spec.ts","Amerisano LandingPage Page test Desktop Safari","","","Freesample LP traits screenshot Desktop Safari viewport: 1920x1080",""
