"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 21 20:39:36 IST 2023","Thu Dec 21 20:39:37 IST 2023","341","chromium","cart\checkoutAllProducts.spec.ts","","","","proceed to checkout from Order Page on device Desktop Safari",""
"passed","Thu Dec 21 20:41:15 IST 2023","Thu Dec 21 20:42:29 IST 2023","73822","chromium","cart\checkoutAllProducts.spec.ts","","","","proceed to checkout from Order Page on device ultrawide FHD",""
"passed","Thu Dec 21 20:39:46 IST 2023","Thu Dec 21 20:41:15 IST 2023","88992","chromium","cart\checkoutAllProducts.spec.ts","","","","proceed to checkout from Order Page on device Desktop Edge HiDPI",""
"broken","Thu Dec 21 19:43:53 IST 2023","Thu Dec 21 19:48:05 IST 2023","252399","chromium","cart\checkoutAllProducts.spec.ts","","","","proceed to checkout from Order Page on device Desktop Firefox",""
"passed","Thu Dec 21 20:38:18 IST 2023","Thu Dec 21 20:39:30 IST 2023","71680","chromium","cart\checkoutAllProducts.spec.ts","","","","proceed to checkout from Order Page on device MacBook Air 2020 13",""
"passed","Thu Dec 21 20:40:42 IST 2023","Thu Dec 21 20:41:57 IST 2023","75191","chromium","cart\checkoutAllProducts.spec.ts","","","","proceed to checkout from Order Page on device Desktop Chrome",""
"passed","Thu Dec 21 20:39:30 IST 2023","Thu Dec 21 20:40:42 IST 2023","71934","chromium","cart\checkoutAllProducts.spec.ts","","","","proceed to checkout from Order Page on device Macbook Pro 15",""
"passed","Thu Dec 21 20:38:18 IST 2023","Thu Dec 21 20:39:36 IST 2023","78066","chromium","cart\checkoutAllProducts.spec.ts","","","","proceed to checkout from Order Page on device Microsoft Surface",""
