"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 19:34:02 IST 2023","Tue Dec 19 19:41:01 IST 2023","419437","chromium","Forms\Create-Account\CreateAccLargeRes.spec.ts","Create Account Form","","","Unsuccessful Submission-required fields empty/mismatch",""
"passed","Tue Dec 19 19:06:05 IST 2023","Tue Dec 19 19:06:54 IST 2023","48466","chromium","Forms\Create-Account\CreateAccLargeRes.spec.ts","Create Account Form","","","Should Submit Successfully",""
"passed","Tue Dec 19 19:08:21 IST 2023","Tue Dec 19 19:09:24 IST 2023","62649","chromium","Forms\Create-Account\CreateAccLargeRes.spec.ts","Create Account Form","","","Unsuccessful Submission - Required fields empty",""
