"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 30 01:10:25 IST 2023","Sat Dec 30 01:10:46 IST 2023","20404","chromium","pages\landingPage\freebox\screenshot\review\deviceLarge.spec.ts","Amerisano LandingPage Page test ultrawide FHD","","","Freesample LP review screenshot ultrawide FHD viewport: 2560x1080",""
"passed","Sat Dec 30 01:09:10 IST 2023","Sat Dec 30 01:09:36 IST 2023","26397","chromium","pages\landingPage\freebox\screenshot\review\deviceLarge.spec.ts","Amerisano LandingPage Page test MacBook Air 2020 13","","","Freesample LP review screenshot MacBook Air 2020 13 viewport: 1280x800",""
"passed","Sat Dec 30 01:10:02 IST 2023","Sat Dec 30 01:10:27 IST 2023","25199","chromium","pages\landingPage\freebox\screenshot\review\deviceLarge.spec.ts","Amerisano LandingPage Page test Desktop Edge HiDPI","","","Freesample LP review screenshot Desktop Edge HiDPI viewport: 1280x1024",""
"passed","Sat Dec 30 01:09:37 IST 2023","Sat Dec 30 01:09:59 IST 2023","22615","chromium","pages\landingPage\freebox\screenshot\review\deviceLarge.spec.ts","Amerisano LandingPage Page test Macbook Pro 15","","","Freesample LP review screenshot Macbook Pro 15 viewport: 1440x900",""
"passed","Sat Dec 30 01:09:37 IST 2023","Sat Dec 30 01:10:02 IST 2023","25302","chromium","pages\landingPage\freebox\screenshot\review\deviceLarge.spec.ts","Amerisano LandingPage Page test Desktop Chrome","","","Freesample LP review screenshot Desktop Chrome viewport: 1920x1080",""
"passed","Sat Dec 30 01:09:59 IST 2023","Sat Dec 30 01:10:25 IST 2023","25926","chromium","pages\landingPage\freebox\screenshot\review\deviceLarge.spec.ts","Amerisano LandingPage Page test Desktop Safari","","","Freesample LP review screenshot Desktop Safari viewport: 1920x1080",""
"passed","Sat Dec 30 01:09:10 IST 2023","Sat Dec 30 01:09:37 IST 2023","26684","chromium","pages\landingPage\freebox\screenshot\review\deviceLarge.spec.ts","Amerisano LandingPage Page test Microsoft Surface","","","Freesample LP review screenshot Microsoft Surface viewport: 1366x768",""
