"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 19:39:39 IST 2023","Fri Dec 29 19:40:20 IST 2023","41342","chromium","pages\orderPage\screenshot\review\deviceLarge.spec.ts","Amerisano Order Page test MacBook Air 2020 13","","","Review OrderPage screenshot MacBook Air 2020 13 viewport: 1280x800",""
"passed","Fri Dec 29 19:41:21 IST 2023","Fri Dec 29 19:41:43 IST 2023","21712","chromium","pages\orderPage\screenshot\review\deviceLarge.spec.ts","Amerisano Order Page test ultrawide FHD","","","Review OrderPage screenshot ultrawide FHD viewport: 2560x1080",""
"passed","Fri Dec 29 19:40:52 IST 2023","Fri Dec 29 19:41:21 IST 2023","29376","chromium","pages\orderPage\screenshot\review\deviceLarge.spec.ts","Amerisano Order Page test Desktop Safari","","","Review OrderPage screenshot Desktop Safari viewport: 1920x1080",""
"passed","Fri Dec 29 19:40:20 IST 2023","Fri Dec 29 19:40:52 IST 2023","31558","chromium","pages\orderPage\screenshot\review\deviceLarge.spec.ts","Amerisano Order Page test Macbook Pro 15","","","Review OrderPage screenshot Macbook Pro 15 viewport: 1440x900",""
"passed","Fri Dec 29 19:40:52 IST 2023","Fri Dec 29 19:41:25 IST 2023","33397","chromium","pages\orderPage\screenshot\review\deviceLarge.spec.ts","Amerisano Order Page test Desktop Edge HiDPI","","","Review OrderPage screenshot Desktop Edge HiDPI viewport: 1280x1024",""
"passed","Fri Dec 29 19:39:37 IST 2023","Fri Dec 29 19:40:20 IST 2023","42314","chromium","pages\orderPage\screenshot\review\deviceLarge.spec.ts","Amerisano Order Page test Microsoft Surface","","","Review OrderPage screenshot Microsoft Surface viewport: 1366x768",""
"passed","Fri Dec 29 19:40:20 IST 2023","Fri Dec 29 19:40:52 IST 2023","31776","chromium","pages\orderPage\screenshot\review\deviceLarge.spec.ts","Amerisano Order Page test Desktop Chrome","","","Review OrderPage screenshot Desktop Chrome viewport: 1920x1080",""
