"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 23:38:44 IST 2023","Wed Dec 27 23:39:11 IST 2023","27395","chromium","pages\landingPage\buy\screenshot\as588\deviceLarge.spec.ts","Amerisano/Buy LandingPage test Macbook Pro 15","","","AS588 screenshot Macbook Pro 15",""
"passed","Wed Dec 27 23:39:13 IST 2023","Wed Dec 27 23:39:41 IST 2023","28156","chromium","pages\landingPage\buy\screenshot\as588\deviceLarge.spec.ts","Amerisano/Buy LandingPage test Desktop Edge HiDPI","","","AS588 screenshot Desktop Edge HiDPI",""
"passed","Wed Dec 27 23:39:40 IST 2023","Wed Dec 27 23:39:59 IST 2023","19879","chromium","pages\landingPage\buy\screenshot\as588\deviceLarge.spec.ts","Amerisano/Buy LandingPage test ultrawide FHD","","","AS588 screenshot ultrawide FHD",""
"passed","Wed Dec 27 23:38:16 IST 2023","Wed Dec 27 23:38:44 IST 2023","28374","chromium","pages\landingPage\buy\screenshot\as588\deviceLarge.spec.ts","Amerisano/Buy LandingPage test Microsoft Surface","","","AS588 screenshot Microsoft Surface",""
"passed","Wed Dec 27 23:38:16 IST 2023","Wed Dec 27 23:38:44 IST 2023","27764","chromium","pages\landingPage\buy\screenshot\as588\deviceLarge.spec.ts","Amerisano/Buy LandingPage test MacBook Air 2020 13","","","AS588 screenshot MacBook Air 2020 13",""
"passed","Wed Dec 27 23:38:45 IST 2023","Wed Dec 27 23:39:13 IST 2023","28175","chromium","pages\landingPage\buy\screenshot\as588\deviceLarge.spec.ts","Amerisano/Buy LandingPage test Desktop Chrome","","","AS588 screenshot Desktop Chrome",""
"passed","Wed Dec 27 23:39:11 IST 2023","Wed Dec 27 23:39:40 IST 2023","28202","chromium","pages\landingPage\buy\screenshot\as588\deviceLarge.spec.ts","Amerisano/Buy LandingPage test Desktop Safari","","","AS588 screenshot Desktop Safari",""
